dataset,openml_id,n_samples_orig,n_samples_mod,n_classes,intervention,alpha_orig,r2_orig,alpha_mod,r2_mod,delta_alpha,direction_pred,direction_correct,feature_key,feature_orig,feature_mod,delta_feature,feat_orig_probe_difficulty,feat_orig_class_entropy,feat_orig_label_noise,feat_orig_fisher_ratio,feat_orig_class_imbalance,feat_orig_n_samples,feat_orig_n_features,feat_orig_n_classes,feat_mod_probe_difficulty,feat_mod_class_entropy,feat_mod_label_noise,feat_mod_fisher_ratio,feat_mod_class_imbalance,feat_mod_n_samples,feat_mod_n_features,feat_mod_n_classes
blood-transfusion,1464,748,748,2,label_noise_10,0.10753831196813458,0.8449199829151082,0.07999263690241318,0.7186526592607482,-0.027545675065721406,-1,1,label_noise,0.3048128342245989,0.3502673796791444,0.04545454545454547,0.5495441165179202,0.5487262429826446,0.3048128342245989,0.04782825916339217,3.184357541899441,748,4,2,0.6385005057112134,0.6034394254248915,0.3502673796791444,0.027390322965459592,2.4200913242009134,748,4,2
blood-transfusion,1464,748,748,2,feature_noise_03,0.10753831196813458,0.8449199829151082,0.12153129048185354,0.8603827015738271,0.01399297851371896,-1,0,probe_difficulty,0.5495441165179202,0.5322891163766659,-0.017255000141254362,0.5495441165179202,0.5487262429826446,0.3048128342245989,0.04782825916339217,3.184357541899441,748,4,2,0.5322891163766659,0.5487262429826446,0.2874331550802139,0.04055932651064565,3.184357541899441,748,4,2
blood-transfusion,1464,748,748,2,feature_noise_07,0.10753831196813458,0.8449199829151082,0.1072039279853008,0.4936855630468971,-0.00033438398283378024,-1,1,probe_difficulty,0.5495441165179202,0.5246611705456752,-0.024882945972245052,0.5495441165179202,0.5487262429826446,0.3048128342245989,0.04782825916339217,3.184357541899441,748,4,2,0.5246611705456752,0.5487262429826446,0.3609625668449198,0.02640784094204255,3.184357541899441,748,4,2
blood-transfusion,1464,748,1140,2,smote_balance,0.10753831196813458,0.8449199829151082,0.06424781138545675,0.8455573039957486,-0.04329050058267783,1,0,class_entropy,0.5487262429826446,0.6931471803599453,0.14442093737730066,0.5495441165179202,0.5487262429826446,0.3048128342245989,0.04782825916339217,3.184357541899441,748,4,2,0.6273958980325693,0.6931471803599453,0.21754385964912282,0.0571161440382173,0.9982486865148862,1140,4,2
blood-transfusion,1464,748,627,2,class_imbalance,0.10753831196813458,0.8449199829151082,0.11076614568677305,0.6080053927457523,0.0032278337186384676,-1,0,class_entropy,0.5487262429826446,0.3046360971492381,-0.2440901458334065,0.5495441165179202,0.5487262429826446,0.3048128342245989,0.04782825916339217,3.184357541899441,748,4,2,0.28254812561548515,0.3046360971492381,0.11802232854864433,0.019946641404565892,9.827586206896552,627,4,2
banknote-authentication,1462,1372,1372,2,label_noise_10,0.20304050230664356,0.6312303086514489,0.10240519447279989,0.6261014866840017,-0.10063530783384367,-1,1,label_noise,0.002186588921282799,0.18950437317784258,0.1873177842565598,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.4484870523573482,0.6874744766192264,0.18950437317784258,0.10071041331030986,1.236156351791531,1372,4,2
banknote-authentication,1462,1372,1372,2,label_noise_20,0.20304050230664356,0.6312303086514489,0.026290740895832693,0.7511861700488734,-0.17674976141081086,-1,1,label_noise,0.002186588921282799,0.30174927113702626,0.29956268221574345,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.723497308083472,0.6902714701351381,0.30174927113702626,0.056359589996751676,1.1622047244094489,1372,4,2
banknote-authentication,1462,1372,1372,2,feature_noise_03,0.20304050230664356,0.6312303086514489,0.1876774671716178,0.7968560908955351,-0.015363035135025765,-1,1,probe_difficulty,0.07314965522204628,0.17349631837798674,0.10034666315594046,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.17349631837798674,0.6869976657350199,0.06341107871720117,0.14407794233975388,1.2471358428805237,1372,4,2
banknote-authentication,1462,1372,1372,2,feature_noise_07,0.20304050230664356,0.6312303086514489,0.12821466730722159,0.8249506116678547,-0.07482583499942197,-1,1,probe_difficulty,0.07314965522204628,0.40898102002140857,0.33583136479936226,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.40898102002140857,0.6869976657350199,0.2536443148688047,0.09734128464813611,1.2471358428805237,1372,4,2
banknote-authentication,1462,1372,1524,2,smote_balance,0.20304050230664356,0.6312303086514489,0.19270318478288376,0.651796746235954,-0.010337317523759798,1,0,class_entropy,0.6869976657350199,0.6931471803599453,0.006149514624925412,0.07314965522204628,0.6869976657350199,0.002186588921282799,0.16386735448542913,1.2471358428805237,1372,4,2,0.07010403910806695,0.6931471803599453,0.001968503937007874,0.16119573919906038,0.9986893840104849,1524,4,2
