dataset,openml_id,alpha,alpha_r2,alpha_ci_low,alpha_ci_high,fisher_ratio,silhouette,delta,intrinsic_dim,linear_probe_difficulty,label_noise,class_entropy,class_imbalance,n_samples,n_features,n_classes,elapsed_s
blood-transfusion,1464,0.073224,0.4927,-0.013702,0.128657,0.047828,0.555384,0.026563,1.784875,0.549544,0.277273,0.548726,3.184358,748,4,2,8.4
banknote-authentication,1462,1.179378,0.9752,0.845299,1.355388,0.163867,0.583156,0.09556,2.984354,0.07315,0.002041,0.686998,1.247136,1372,4,2,9.2
bank-marketing,1461,0.061653,0.7006,0.025771,0.090696,0.008184,0.647816,0.005302,5.843069,0.269253,0.141775,0.356588,7.696739,8000,16,2,52.0
eeg-eye-state,1471,0.394375,0.9835,0.367564,0.452374,0.000176,0.506688,8.9e-05,5.371512,0.642344,0.08995,0.68884,1.204132,8000,14,2,53.9
electricity,151,0.096592,0.9927,0.085312,0.10318,0.005494,0.531767,0.002922,3.399659,0.507577,0.255625,0.681627,1.356701,8000,8,2,52.7
magic-telescope,1120,0.073214,0.9491,0.060768,0.095804,0.046965,0.561285,0.026361,6.299978,0.459346,0.212975,0.646591,1.867742,8000,10,2,59.7
qsar-biodeg,1494,0.235527,0.7539,0.030804,0.326034,0.014294,0.542986,0.007762,2.856884,0.373024,0.236398,0.639323,1.957983,1055,41,2,10.8
phoneme,1489,0.114563,0.9866,0.095292,0.122726,0.058207,0.550588,0.032048,1.628469,0.471004,0.155218,0.605244,2.405797,5404,5,2,40.5
ozone,1487,-0.208439,0.6449,-0.375533,-0.085607,0.005161,0.347953,0.001796,12.115881,0.173817,0.081215,0.235525,14.745342,2534,72,2,22.8
hill-valley,1479,0.043165,0.474,-0.007418,0.076873,0.000876,0.500509,0.000438,9.096874,0.562211,0.486469,0.693147,0.998353,1212,100,2,11.5
wall-robot-navigation,1497,0.397653,0.9756,0.353043,0.499764,0.111538,0.493567,0.055051,1.914689,0.76587,0.165323,1.188493,6.702128,5456,24,4,40.6
cnae-9,1468,0.319861,0.9248,0.173151,0.394281,0.30446,0.532041,0.161985,4.170587,0.342942,0.258148,2.197225,0.991736,1080,100,9,16.6
cardiotocography,1466,1.882031,0.9854,1.495032,2.070826,0.050264,0.421559,0.021189,2.417471,0.333449,0.145437,2.019385,10.722222,2126,35,10,13.5
kc2,1063,0.353467,0.7809,0.038356,0.465569,0.069074,0.763927,0.052768,1.647555,0.613591,0.199234,0.50723,3.842593,522,21,2,6.7
kc1,1067,0.136832,0.8424,0.076544,0.191617,0.085802,0.734238,0.062999,1.493902,0.362232,0.220199,0.430565,5.452599,2109,21,2,16.7
breast-w,15,0.231726,0.8743,0.165843,0.343043,0.768181,0.765224,0.587831,5.833178,0.096546,0.051502,0.644154,1.892562,699,9,2,7.8
pc1,1068,0.187487,0.6443,0.018524,0.270159,0.019362,0.763208,0.014777,1.40592,0.296336,0.095942,0.252167,13.230769,1109,21,2,10.6
haberman,43,0.116622,0.7544,0.038359,0.168446,0.072356,0.585368,0.042355,2.66188,0.646904,0.327451,0.577922,2.743902,306,3,2,4.8
ecoli,40671,0.16437,0.9367,0.131066,0.203874,1.234601,0.627557,0.774782,4.471043,0.424875,0.19633,1.404712,6.809524,327,7,5,5.3
diabetes,37,0.155942,0.8383,0.051616,0.204419,0.05763,0.54557,0.031441,5.834343,0.482838,0.319531,0.646799,1.858736,768,8,2,8.5
heart-statlog,53,0.098057,0.3341,-0.09047,0.343378,0.138205,0.559433,0.077317,6.115169,0.408754,0.23037,0.686962,1.239669,270,13,2,5.0
ilpd,1480,0.112355,0.7971,0.074868,0.179235,0.033619,0.438187,0.014731,5.067704,0.51461,0.335163,0.598942,2.47619,583,10,2,7.1
yeast,181,0.120803,0.8277,0.063108,0.163753,0.274011,0.479203,0.131307,4.806632,1.112197,0.524528,1.726226,77.166667,1484,8,10,13.4
dermatology,35,0.186116,0.781,0.061972,0.26986,1.463344,0.612618,0.896472,8.147326,0.0897,0.060656,1.686148,5.333333,366,34,6,6.3
liver-disorders,8,0.258349,0.9413,0.14487,0.316446,0.078274,0.426709,0.0334,4.505251,2.110964,0.835928,2.065589,15.428571,334,5,11,5.4
balance-scale,11,0.512189,0.9368,0.410254,0.690896,0.203844,0.544415,0.110976,4.0,0.402943,0.2176,0.913649,5.76,625,4,3,7.1
arrhythmia,5,0.49778,0.9726,0.437137,0.555001,0.20733,0.488462,0.101273,5.717158,2.171645,0.47088,1.577099,40.833333,443,100,10,10.1
credit-g,31,0.088982,0.3544,-0.073226,0.157348,0.015441,0.51298,0.007921,7.136625,0.560829,0.341,0.610864,2.325581,1000,20,2,10.2
glass,41,0.354721,0.9578,0.229183,0.427004,0.269204,0.477214,0.128468,3.925853,0.97525,0.364486,1.508658,7.6,214,9,6,4.7
kr-vs-kp,3,0.739513,0.9897,0.644642,0.799451,0.031924,0.51689,0.016501,2.883941,0.292437,0.11433,0.69216,1.092277,3196,36,2,16.2
nursery,26,0.797656,0.9825,0.711185,0.874366,0.087214,0.501993,0.043781,3.046905,0.470176,0.19945,1.189725,12.826087,8000,8,4,68.4
mushroom,24,1.692653,0.9955,1.540627,1.777419,0.058959,0.538958,0.031776,2.386536,0.142954,0.0002,0.692543,1.071724,8000,22,2,18.7
segment,36,0.559106,0.9462,0.476748,0.752883,0.04256,0.49342,0.021,2.032411,0.21567,0.093506,1.94591,0.996979,2310,19,7,21.3
soybean,42,1.277213,0.9466,0.693476,1.527355,1.356708,0.58284,0.790744,1.448614,0.345904,0.166618,2.658572,10.222222,683,35,19,8.8
sonar,40,-0.054539,0.3187,-0.144368,0.01292,0.04937,0.518287,0.025588,11.26725,1.584709,0.223077,0.69088,1.132653,208,60,2,5.3
splice,46,0.296783,0.9118,0.202178,0.373356,0.009203,0.49108,0.004519,4.017661,0.439478,0.49047,1.025976,2.154948,3190,60,3,21.5
vehicle,54,0.282995,0.9461,0.203043,0.327703,0.11424,0.502715,0.05743,6.707297,0.532696,0.321513,1.385647,1.09,846,18,4,9.1
vowel,307,0.992835,0.9636,0.829312,1.302878,0.273673,0.496322,0.13583,2.878079,1.523846,0.106667,2.397895,0.989011,990,12,11,10.2
cmc,23,0.166396,0.9379,0.121296,0.200271,0.036871,0.483274,0.017819,2.600185,0.963537,0.543381,1.066777,1.883234,1473,9,3,11.8
credit-approval,29,0.170162,0.5697,-0.197847,0.293403,0.0354,0.563262,0.019939,4.702344,0.378809,0.247826,0.687069,1.243506,690,15,2,9.0
letter,6,0.531355,0.9982,0.516049,0.566535,0.567421,0.498169,0.282672,3.817661,0.915101,0.1566,3.25694,1.183099,8000,16,26,65.7
mfeat-factors,12,0.421054,0.9267,0.20261,0.513174,1.154261,0.570509,0.658516,4.651233,0.119969,0.0766,2.302585,0.995025,2000,100,10,27.8
mfeat-fourier,14,0.056393,0.4186,-0.058061,0.113008,0.289209,0.516009,0.149235,7.800654,0.518582,0.2493,2.302585,0.995025,2000,76,10,24.4
